id,fdb_molecules_id,fdb_entities_id
40,4,42
279,49,2
377,49,9
610,49,63
761,49,79
909,49,167
1140,49,283
1473,49,371
492,58,9
1579,58,48
1810,70,45
1939,70,62
717,70,63
2070,70,64
2218,70,65
2344,70,66
2462,70,67
2578,70,68
2692,70,69
2806,70,70
2922,70,71
3039,70,72
3182,70,73
3301,70,74
3421,70,75
3534,70,76
3661,70,77
3821,70,78
844,70,79
3946,70,80
4062,70,81
4182,70,82
4300,70,83
4437,70,84
4554,70,85
1045,70,167
1324,70,283
1445,70,371
268,72,2
22453,72,3
342,72,9
7952,72,32
24,72,42
13317,72,46
26068,72,51
26451,72,54
22594,72,55
22895,72,56
26627,72,102
38847,72,112
26901,72,113
20667,72,116
35404,72,128
34202,72,137
39033,72,157
10552,72,162
15015,72,164
30227,72,165
882,72,167
27110,72,171
27277,72,172
10792,72,174
35881,72,175
38064,72,177
33169,72,178
27425,72,179
36114,72,180
23214,72,181
9188,72,182
4973,72,183
15211,72,184
35642,72,185
19897,72,186
33791,72,187
27574,72,188
5225,72,190
30303,72,191
39413,72,192
35516,72,193
30511,72,194
5466,72,196
23305,72,198
15321,72,201
11842,72,202
32154,72,204
11973,72,206
15527,72,207
35118,72,209
23601,72,210
5690,72,213
37554,72,214
35986,72,215
23719,72,217
23990,72,218
20277,72,221
20877,72,222
16969,72,223
9432,72,224
37426,72,225
18458,72,226
5795,72,228
17137,72,229
32755,72,230
20945,72,231
17443,72,232
5918,72,233
6120,72,234
24149,72,238
38645,72,239
27763,72,240
22111,72,241
30881,72,242
6956,72,245
6362,72,246
12180,72,248
12292,72,249
36441,72,250
27939,72,251
38411,72,253
24333,72,254
11334,72,255
21170,72,256
12489,72,257
34309,72,258
32313,72,259
35324,72,260
12644,72,262
24423,72,263
12830,72,264
36619,72,265
28094,72,266
37178,72,268
21358,72,269
15794,72,281
34820,72,282
1096,72,283
24635,72,284
24719,72,285
9559,72,287
17775,72,288
11011,72,289
33231,72,293
31084,72,294
28490,72,296
37339,72,297
25048,72,299
19573,72,303
21552,72,305
33996,72,307
18537,72,308
9859,72,310
32949,72,313
34674,72,320
11425,72,322
16599,72,323
36771,72,325
28671,72,327
6697,72,328
25223,72,329
6863,72,330
16766,72,331
13009,72,332
28768,72,333
29097,72,335
18747,72,336
36947,72,337
22375,72,338
20075,72,339
34494,72,340
21715,72,341
25332,72,342
31984,72,343
34959,72,344
15932,72,345
31285,72,346
25519,72,347
14142,72,348
33340,72,349
20411,72,350
34141,72,351
32434,72,352
29281,72,353
25707,72,354
37729,72,355
13146,72,356
29359,72,357
37844,72,358
25840,72,359
29756,72,360
37946,72,361
29589,72,362
10163,72,364
38923,72,365
32620,72,366
14681,72,367
17954,72,368
18893,72,369
31351,72,370
1460,72,371
32821,72,372
14236,72,373
21866,72,375
39136,72,377
31456,72,378
13760,72,379
31659,72,380
38286,72,381
36221,72,382
26211,72,387
